Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1763399126.063	  3085.263	0	959	0	0	process_subject 067
1	:	1763399126.062	  3091.631	0	959	0	0	process_subject 066
3	:	1763402211.341	  3063.940	0	959	0	0	process_subject 070
4	:	1763402217.696	  3064.911	0	959	0	0	process_subject 074
5	:	1763405275.315	  3025.269	0	959	0	0	process_subject 078
6	:	1763405282.617	  3033.077	0	959	0	0	process_subject 083
8	:	1763408315.700	  3002.542	0	959	0	0	process_subject 085
7	:	1763408300.615	  3096.651	0	959	0	0	process_subject 084
9	:	1763411318.279	  3092.534	0	959	0	0	process_subject 086
10	:	1763411397.269	  3154.606	0	959	0	0	process_subject 087
11	:	1763414410.869	  3029.687	0	959	0	0	process_subject 088
12	:	1763414551.880	  3120.810	0	959	0	0	process_subject 092
13	:	1763417440.594	  3181.824	0	959	0	0	process_subject 095
14	:	1763417672.694	  3148.381	0	959	0	0	process_subject 097
15	:	1763420622.448	  3105.194	0	959	0	0	process_subject 100
16	:	1763420821.079	  3295.622	0	965	0	0	process_subject 14006
17	:	1763423727.662	  3105.528	0	965	0	0	process_subject 14008
19	:	1763426833.294	    10.351	0	1222	0	0	process_subject 14013
18	:	1763424116.706	  3225.233	0	1830	0	0	process_subject 14011
20	:	1763426843.649	  3207.488	0	965	0	0	process_subject 14017
21	:	1763427341.943	  3157.210	0	965	0	0	process_subject 14027
22	:	1763430051.178	  3188.921	0	965	0	0	process_subject 14031
23	:	1763430499.156	  3114.709	0	3214	0	0	process_subject 14041
24	:	1763433240.141	  3169.043	0	965	0	0	process_subject 14054
25	:	1763433613.875	  3126.322	0	965	0	0	process_subject 14057
26	:	1763436409.220	  3104.114	0	965	0	0	process_subject 14064
27	:	1763436740.200	  3273.812	0	965	0	0	process_subject 14076
28	:	1763439513.364	  3198.345	0	965	0	0	process_subject 14079
29	:	1763440014.027	  3152.697	0	965	0	0	process_subject 14080
30	:	1763442711.765	  3279.572	0	965	0	0	process_subject 14083
31	:	1763443166.730	  3172.970	0	965	0	0	process_subject 14087
32	:	1763445991.383	  3179.411	0	965	0	0	process_subject 14094
33	:	1763446339.720	  3166.016	0	965	0	0	process_subject 14098
34	:	1763449170.848	  3224.218	0	965	0	0	process_subject 14110
35	:	1763449505.740	  3150.776	0	965	0	0	process_subject 14112
36	:	1763452395.111	  3197.954	0	965	0	0	process_subject 14115
37	:	1763452656.521	  3317.246	0	965	0	0	process_subject 14118
38	:	1763455593.118	  3473.214	0	965	0	0	process_subject 14120
39	:	1763455973.782	  3479.473	0	965	0	0	process_subject 14129
40	:	1763459066.373	  3539.752	0	159606	0	0	process_subject 14132
41	:	1763459453.259	  3399.997	0	1484	0	0	process_subject 14136
42	:	1763462606.151	  3162.993	0	965	0	0	process_subject 14137
43	:	1763462853.260	  3185.335	0	965	0	0	process_subject 14145
44	:	1763465769.182	  3191.838	0	965	0	0	process_subject 14148
45	:	1763466038.599	  3179.398	0	965	0	0	process_subject 14164
46	:	1763468961.061	  3127.149	0	965	0	0	process_subject 14168
48	:	1763472088.237	    10.776	0	1222	0	0	process_subject 14172
47	:	1763469218.001	  3117.567	0	965	0	0	process_subject 14171
49	:	1763472099.018	  3125.140	0	965	0	0	process_subject 14180
50	:	1763472335.572	  3185.134	0	965	0	0	process_subject 14181
51	:	1763475224.182	  3094.759	0	965	0	0	process_subject 14185
52	:	1763475520.711	  3074.013	0	965	0	0	process_subject 14187
53	:	1763478318.979	  3188.210	0	965	0	0	process_subject 14205
54	:	1763478594.728	  3205.230	0	965	0	0	process_subject 14206
