Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1763279311.903	   649.863	0	117	0	0	fmri_process_subject 14027
6	:	1763279311.906	   662.990	0	117	0	0	fmri_process_subject 14031
13	:	1763279311.922	   672.814	0	117	0	0	fmri_process_subject 14080
11	:	1763279311.917	   674.108	0	117	0	0	fmri_process_subject 14076
12	:	1763279311.919	   698.748	0	117	0	0	fmri_process_subject 14079
9	:	1763279311.913	   702.426	0	117	0	0	fmri_process_subject 14057
8	:	1763279311.910	   724.402	0	117	0	0	fmri_process_subject 14054
10	:	1763279311.914	   729.500	0	117	0	0	fmri_process_subject 14064
2	:	1763279311.897	   737.993	0	117	0	0	fmri_process_subject 14008
4	:	1763279311.901	   752.806	0	117	0	0	fmri_process_subject 14017
15	:	1763279311.927	   756.366	0	117	0	0	fmri_process_subject 14087
7	:	1763279311.908	   761.243	0	117	0	0	fmri_process_subject 14041
3	:	1763279311.899	   783.062	0	117	0	0	fmri_process_subject 14011
14	:	1763279311.925	   820.446	0	117	0	0	fmri_process_subject 14083
1	:	1763279311.895	   824.569	0	117	0	0	fmri_process_subject 14006
17	:	1763279974.899	   669.269	0	117	0	0	fmri_process_subject 14098
19	:	1763279986.029	   691.000	0	117	0	0	fmri_process_subject 14112
16	:	1763279961.838	   717.470	0	117	0	0	fmri_process_subject 14094
21	:	1763280014.363	   681.045	0	117	0	0	fmri_process_subject 14118
22	:	1763280036.316	   679.314	0	117	0	0	fmri_process_subject 14120
23	:	1763280041.420	   677.651	0	117	0	0	fmri_process_subject 14129
18	:	1763279984.740	   734.811	0	117	0	0	fmri_process_subject 14110
20	:	1763280010.671	   718.266	0	117	0	0	fmri_process_subject 14115
26	:	1763280068.301	   690.427	0	117	0	0	fmri_process_subject 14137
27	:	1763280073.154	   722.556	0	117	0	0	fmri_process_subject 14145
30	:	1763280136.469	   666.705	0	117	0	0	fmri_process_subject 14168
28	:	1763280094.966	   743.565	0	117	0	0	fmri_process_subject 14148
25	:	1763280064.718	   800.006	0	117	0	0	fmri_process_subject 14136
29	:	1763280132.375	   755.030	0	117	0	0	fmri_process_subject 14164
31	:	1763280644.191	   676.176	0	117	0	0	fmri_process_subject 14171
33	:	1763280679.315	   677.747	0	117	0	0	fmri_process_subject 14181
24	:	1763280049.902	  1311.940	0	117	0	0	fmri_process_subject 14132
34	:	1763280695.411	   689.299	0	117	0	0	fmri_process_subject 14185
36	:	1763280719.083	   682.808	0	117	0	0	fmri_process_subject 14205
35	:	1763280715.634	   687.083	0	117	0	0	fmri_process_subject 14187
32	:	1763280677.033	   729.947	0	117	0	0	fmri_process_subject 14180
38	:	1763280728.947	   688.069	0	117	0	0	fmri_process_subject 14210
39	:	1763280758.733	   726.174	0	117	0	0	fmri_process_subject 14211
41	:	1763280803.178	   703.325	0	117	0	0	fmri_process_subject 14226
44	:	1763280887.409	   660.256	0	117	0	0	fmri_process_subject 14245
43	:	1763280864.728	   683.184	0	117	0	0	fmri_process_subject 14241
42	:	1763280838.536	   727.555	0	117	0	0	fmri_process_subject 14236
37	:	1763280719.555	   897.536	0	117	0	0	fmri_process_subject 14206
58	:	1763281617.095	     3.376	0	117	0	0	fmri_process_subject 14336
59	:	1763281620.478	     3.190	0	117	0	0	fmri_process_subject 14338
60	:	1763281623.672	     3.197	0	117	0	0	fmri_process_subject 14343
61	:	1763281626.874	     3.135	0	117	0	0	fmri_process_subject 14344
62	:	1763281630.013	     3.154	0	117	0	0	fmri_process_subject 14346
63	:	1763281633.172	     3.100	0	117	0	0	fmri_process_subject 14357
64	:	1763281636.275	     3.126	0	117	0	0	fmri_process_subject 14371
65	:	1763281639.406	     3.120	0	117	0	0	fmri_process_subject 14378
66	:	1763281642.531	     3.257	0	117	0	0	fmri_process_subject 14382
67	:	1763281645.793	     3.220	0	117	0	0	fmri_process_subject 14387
68	:	1763281649.018	     3.021	0	117	0	0	fmri_process_subject 14390
69	:	1763281652.042	     3.092	0	117	0	0	fmri_process_subject 14403
70	:	1763281655.137	     3.132	0	117	0	0	fmri_process_subject 14421
71	:	1763281658.273	     3.177	0	117	0	0	fmri_process_subject 14424
72	:	1763281661.456	     3.145	0	117	0	0	fmri_process_subject 14430
73	:	1763281664.607	     3.306	0	117	0	0	fmri_process_subject 14451
74	:	1763281667.918	     3.470	0	117	0	0	fmri_process_subject 14452
75	:	1763281671.392	     3.252	0	117	0	0	fmri_process_subject 14460
76	:	1763281674.647	     3.339	0	117	0	0	fmri_process_subject 14462
77	:	1763281678.015	     3.179	0	117	0	0	fmri_process_subject 14467
78	:	1763281681.198	     3.081	0	117	0	0	fmri_process_subject 14468
79	:	1763281684.283	     3.117	0	117	0	0	fmri_process_subject 14475
80	:	1763281687.407	     3.208	0	117	0	0	fmri_process_subject 14479
81	:	1763281690.623	     3.308	0	117	0	0	fmri_process_subject 14480
82	:	1763281693.939	     3.369	0	117	0	0	fmri_process_subject 14481
83	:	1763281697.321	     3.202	0	117	0	0	fmri_process_subject 14491
45	:	1763281320.417	   682.108	0	117	0	0	fmri_process_subject 14249
46	:	1763281357.067	   672.713	0	117	0	0	fmri_process_subject 14251
50	:	1763281402.723	   647.517	0	117	0	0	fmri_process_subject 14294
47	:	1763281361.846	   694.875	0	117	0	0	fmri_process_subject 14255
51	:	1763281406.995	   658.759	0	117	0	0	fmri_process_subject 14295
49	:	1763281401.935	   681.025	0	117	0	0	fmri_process_subject 14285
40	:	1763280795.715	  1315.038	0	117	0	0	fmri_process_subject 14213
52	:	1763281417.021	   713.251	0	117	0	0	fmri_process_subject 14303
54	:	1763281506.507	   660.194	0	117	0	0	fmri_process_subject 14316
57	:	1763281566.100	   646.983	0	117	0	0	fmri_process_subject 14333
55	:	1763281547.668	   684.940	0	117	0	0	fmri_process_subject 14319
56	:	1763281547.915	   689.870	0	117	0	0	fmri_process_subject 14328
53	:	1763281484.936	   778.316	0	117	0	0	fmri_process_subject 14312
48	:	1763281384.713	   924.033	0	117	0	0	fmri_process_subject 14284
