Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1763335982.059	  3130.059	0	995	0	0	process_subject 14245
2	:	1763335982.060	  3283.265	0	995	0	0	process_subject 14249
3	:	1763339112.182	  3238.071	0	995	0	0	process_subject 14251
4	:	1763339265.328	  3198.868	0	995	0	0	process_subject 14255
5	:	1763342350.330	  3360.629	0	23658	0	0	process_subject 14284
6	:	1763342464.228	  3290.117	0	995	0	0	process_subject 14285
8	:	1763345754.349	  3173.492	0	995	0	0	process_subject 14295
7	:	1763345710.995	  3631.093	0	995	0	0	process_subject 14294
9	:	1763348927.881	  3249.576	0	995	0	0	process_subject 14303
10	:	1763349342.114	  3242.509	0	995	0	0	process_subject 14312
11	:	1763352177.495	  3152.337	0	995	0	0	process_subject 14316
12	:	1763352584.628	  3142.555	0	995	0	0	process_subject 14319
13	:	1763355329.875	  3210.059	0	995	0	0	process_subject 14328
14	:	1763355727.200	  3151.503	0	995	0	0	process_subject 14333
15	:	1763358539.968	  3041.511	0	995	0	0	process_subject 27999
16	:	1763358878.707	  3249.285	0	995	0	0	process_subject 28001
17	:	1763361581.514	  3133.755	0	995	0	0	process_subject 28003
18	:	1763362127.996	  3322.817	0	995	0	0	process_subject 28004
19	:	1763364715.298	  3197.924	0	995	0	0	process_subject 28034
20	:	1763365450.836	  3171.555	0	995	0	0	process_subject 28043
21	:	1763367913.261	  3146.143	0	995	0	0	process_subject 28096
22	:	1763368622.428	  3356.760	0	995	0	0	process_subject 28129
23	:	1763371059.434	  2522.453	0	3238	0	0	process_subject 28132
24	:	1763371979.202	  1606.677	0	1231	0	0	process_subject 28146
25	:	1763373581.890	    57.096	0	1229	0	0	process_subject 28167
26	:	1763373585.882	    54.361	0	1231	0	0	process_subject 28176
28	:	1763373640.247	    37.786	0	1229	0	0	process_subject 28178
29	:	1763373678.038	    50.672	0	1229	0	0	process_subject 28265
27	:	1763373638.990	    89.769	0	1227	0	0	process_subject 28177
30	:	1763373728.715	    55.154	0	1443	0	0	process_subject 28275
31	:	1763373728.763	    55.585	0	1441	0	0	process_subject 28279
32	:	1763373783.890	    36.678	0	1231	0	0	process_subject 28280
33	:	1763373784.351	    42.177	0	3673	0	0	process_subject 28281
34	:	1763373820.572	    47.810	0	1229	0	0	process_subject 28282
35	:	1763373826.532	    73.937	0	1229	0	0	process_subject 28284
36	:	1763373868.386	    81.833	0	1231	0	0	process_subject 28289
37	:	1763373907.891	    42.688	0	1231	0	0	process_subject 28291
38	:	1763373950.222	    40.993	0	1229	0	0	process_subject 28292
39	:	1763373950.583	    40.956	0	1229	0	0	process_subject 28297
40	:	1763373991.218	    64.412	0	1227	0	0	process_subject 28299
