Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
12	:	1763285386.987	   700.023	0	117	0	0	fmri_process_subject 28176
6	:	1763285386.969	   734.349	0	117	0	0	fmri_process_subject 28043
15	:	1763285386.999	   734.335	0	117	0	0	fmri_process_subject 28265
10	:	1763285386.980	   743.093	0	117	0	0	fmri_process_subject 28146
5	:	1763285386.966	   744.401	0	117	0	0	fmri_process_subject 28034
13	:	1763285386.990	   747.526	0	117	0	0	fmri_process_subject 28177
1	:	1763285386.958	   748.075	0	117	0	0	fmri_process_subject 27999
2	:	1763285386.960	   758.450	0	117	0	0	fmri_process_subject 28001
7	:	1763285386.972	   785.152	0	117	0	0	fmri_process_subject 28096
3	:	1763285386.962	   807.103	0	117	0	0	fmri_process_subject 28003
4	:	1763285386.964	   809.851	0	117	0	0	fmri_process_subject 28004
9	:	1763285386.977	   864.036	0	117	0	0	fmri_process_subject 28132
14	:	1763285386.993	   874.016	0	117	0	0	fmri_process_subject 28178
8	:	1763285386.975	   881.261	0	117	0	0	fmri_process_subject 28129
11	:	1763285386.984	  1012.318	0	117	0	0	fmri_process_subject 28167
17	:	1763286121.324	   742.379	0	117	0	0	fmri_process_subject 28279
19	:	1763286130.078	   740.631	0	117	0	0	fmri_process_subject 28281
20	:	1763286131.370	   740.199	0	117	0	0	fmri_process_subject 28282
22	:	1763286135.036	   746.305	0	117	0	0	fmri_process_subject 28289
24	:	1763286172.139	   741.903	0	117	0	0	fmri_process_subject 28292
21	:	1763286134.542	   779.536	0	117	0	0	fmri_process_subject 28284
25	:	1763286194.068	   733.766	0	117	0	0	fmri_process_subject 28297
23	:	1763286145.422	   794.845	0	117	0	0	fmri_process_subject 28291
16	:	1763286087.087	   856.586	0	117	0	0	fmri_process_subject 28275
27	:	1763286251.018	   739.719	0	117	0	0	fmri_process_subject 28307
29	:	1763286268.255	   753.128	0	117	0	0	fmri_process_subject 28312
28	:	1763286261.013	   775.359	0	117	0	0	fmri_process_subject 28308
26	:	1763286196.822	   866.694	0	117	0	0	fmri_process_subject 28299
18	:	1763286121.337	  1000.661	0	117	0	0	fmri_process_subject 28280
30	:	1763286399.310	   770.452	0	117	0	0	fmri_process_subject 28315
34	:	1763286881.346	   697.536	0	117	0	0	fmri_process_subject 28326
33	:	1763286871.574	   732.872	0	117	0	0	fmri_process_subject 28323
32	:	1763286870.714	   746.710	0	117	0	0	fmri_process_subject 28320
37	:	1763286927.844	   697.027	0	117	0	0	fmri_process_subject 28332
31	:	1763286863.800	   786.544	0	117	0	0	fmri_process_subject 28318
36	:	1763286914.092	   747.154	0	117	0	0	fmri_process_subject 28331
40	:	1763286990.767	   699.614	0	117	0	0	fmri_process_subject 28339
39	:	1763286943.680	   766.661	0	117	0	0	fmri_process_subject 28335
35	:	1763286914.049	   798.039	0	117	0	0	fmri_process_subject 28330
42	:	1763287036.403	   707.358	0	117	0	0	fmri_process_subject 28348
38	:	1763286940.298	   820.728	0	117	0	0	fmri_process_subject 28334
41	:	1763287021.409	   793.800	0	117	0	0	fmri_process_subject 28346
43	:	1763287063.547	   766.633	0	117	0	0	fmri_process_subject 28349
44	:	1763287122.010	   796.078	0	117	0	0	fmri_process_subject 28354
45	:	1763287169.772	   752.629	0	117	0	0	fmri_process_subject 28356
47	:	1763287604.449	   698.347	0	117	0	0	fmri_process_subject 28367
48	:	1763287617.427	   706.796	0	117	0	0	fmri_process_subject 28368
50	:	1763287650.363	   716.294	0	117	0	0	fmri_process_subject 28376
46	:	1763287578.933	   804.095	0	117	0	0	fmri_process_subject 28360
49	:	1763287624.875	   765.358	0	117	0	0	fmri_process_subject 28371
53	:	1763287710.371	   688.078	0	117	0	0	fmri_process_subject 28402
51	:	1763287661.271	   749.630	0	117	0	0	fmri_process_subject 28391
52	:	1763287690.396	   750.127	0	117	0	0	fmri_process_subject 28397
54	:	1763287712.094	   742.276	0	117	0	0	fmri_process_subject 28409
56	:	1763287761.086	   703.577	0	117	0	0	fmri_process_subject 28412
55	:	1763287743.765	   737.275	0	117	0	0	fmri_process_subject 28410
58	:	1763287830.183	   709.299	0	117	0	0	fmri_process_subject 28417
57	:	1763287815.234	   728.921	0	117	0	0	fmri_process_subject 28413
59	:	1763287918.108	   696.572	0	117	0	0	fmri_process_subject 28419
