Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1763335878.339	  3653.542	0	989	0	0	process_subject 088
2	:	1763335878.342	  3701.496	0	989	0	0	process_subject 092
4	:	1763339579.869	  3660.189	0	989	0	0	process_subject 097
3	:	1763339531.937	  3759.773	0	989	0	0	process_subject 095
5	:	1763343240.127	  3636.090	0	989	0	0	process_subject 100
6	:	1763343291.715	  3688.502	0	995	0	0	process_subject 14006
7	:	1763346876.292	  3572.963	0	995	0	0	process_subject 14008
9	:	1763350449.315	    14.401	0	1222	0	0	process_subject 14013
8	:	1763346980.222	  3749.915	0	1860	0	0	process_subject 14011
10	:	1763350463.723	  3731.773	0	995	0	0	process_subject 14017
11	:	1763350730.141	  3702.292	0	995	0	0	process_subject 14027
12	:	1763354195.563	  3769.653	0	995	0	0	process_subject 14031
13	:	1763354432.438	  3716.052	0	3244	0	0	process_subject 14041
15	:	1763358148.499	  3591.560	0	995	0	0	process_subject 14057
14	:	1763357965.280	  4055.946	0	995	0	0	process_subject 14054
16	:	1763361740.126	  3598.953	0	995	0	0	process_subject 14064
17	:	1763362021.234	  3749.551	0	995	0	0	process_subject 14076
18	:	1763365339.140	  3861.180	0	995	0	0	process_subject 14079
19	:	1763365770.789	  3739.777	0	995	0	0	process_subject 14080
21	:	1763369510.572	  4072.570	0	2931	0	0	process_subject 14087
20	:	1763369200.378	  4387.083	0	3042	0	0	process_subject 14083
23	:	1763373587.466	    90.431	0	1229	0	0	process_subject 14098
22	:	1763373583.179	    96.915	0	1229	0	0	process_subject 14094
24	:	1763373677.904	    59.988	0	1229	0	0	process_subject 14110
25	:	1763373680.099	    58.598	0	3675	0	0	process_subject 14112
27	:	1763373738.702	    54.961	0	1229	0	0	process_subject 14118
26	:	1763373737.896	   107.732	0	1229	0	0	process_subject 14115
28	:	1763373793.668	    68.322	0	1231	0	0	process_subject 14120
29	:	1763373845.632	    45.566	0	1229	0	0	process_subject 14129
30	:	1763373861.997	    56.773	0	1231	0	0	process_subject 14132
31	:	1763373891.205	    73.652	0	1229	0	0	process_subject 14136
32	:	1763373918.773	    74.938	0	1443	0	0	process_subject 14137
33	:	1763373964.866	    54.202	0	1231	0	0	process_subject 14145
34	:	1763373993.716	    43.240	0	1229	0	0	process_subject 14148
36	:	1763374036.960	    44.509	0	1231	0	0	process_subject 14168
35	:	1763374019.072	    73.479	0	1441	0	0	process_subject 14164
38	:	1763374092.556	    13.773	0	1222	0	0	process_subject 14172
37	:	1763374081.473	  2254.154	0	16310	0	0	process_subject 14171
39	:	1763374106.335	  2245.158	0	17086	0	0	process_subject 14180
40	:	1763376335.634	  2251.052	0	17086	0	0	process_subject 14181
41	:	1763376351.498	  2239.848	0	17086	0	0	process_subject 14185
42	:	1763378586.690	  2277.786	0	17086	0	0	process_subject 14187
43	:	1763378591.351	  2280.735	0	17086	0	0	process_subject 14205
45	:	1763380872.092	  2269.605	0	17083	0	0	process_subject 14210
44	:	1763380864.509	  2360.258	0	17083	0	0	process_subject 14206
46	:	1763383141.703	  2341.335	0	17086	0	0	process_subject 14211
47	:	1763383224.773	  2332.130	0	17085	0	0	process_subject 14213
48	:	1763385483.044	  2261.598	0	17086	0	0	process_subject 14226
49	:	1763385556.908	  2262.013	0	17085	0	0	process_subject 14236
50	:	1763387744.648	  2531.125	0	17085	0	0	process_subject 14241
