,group,name,dice,p_value
0,XS268_8,MedFront,0.028291414712206538,0.8161838161838162
1,XS268_8,FrontPar,0.027564734531748004,0.8211788211788211
2,XS268_8,Default,0.04343929971993856,0.42157842157842157
3,XS268_8,Motor,0.044170562464752205,0.5474525474525475
4,XS268_8,VisualA,0.11442170272141776,0.02097902097902098
5,XS268_8,VisualB,0.07472326510640323,0.07392607392607392
6,XS268_8,VisAssoc,0.055918309001553104,0.25374625374625376
7,XS268_8,SalSubcor,0.029632245423292628,0.7792207792207793
8,TY7,Visual,0.12845648284785863,0.02197802197802198
9,TY7,Somatomotor,0.03169741800675445,0.6883116883116883
10,TY7,DorsAttn,0.02864239322947519,0.7222777222777222
11,TY7,Sal/VenAttn,0.030145995012802827,0.7812187812187812
12,TY7,Limbic,0.053627521299347926,0.22377622377622378
13,TY7,Control,0.029018557980505465,0.8251748251748252
14,TY7,Default,0.03881332357641192,0.7512487512487512
15,TY17,VisualA,0.08554141939983002,0.09490509490509491
16,TY17,VisualB,0.12821141020159102,0.008991008991008992
17,TY17,SomatomotorA,0.01337257730522156,0.8951048951048951
18,TY17,SomatomotorB,0.04385629546394734,0.34465534465534464
19,TY17,DorsAttnA,0.043001205816390914,0.3016983016983017
20,TY17,DorsAttnB,0.018456902860533243,0.7832167832167832
21,TY17,Sal/VenAttnA,0.029074165992416023,0.7042957042957043
22,TY17,Sal/VenAttnB,0.015535088023560474,0.8741258741258742
23,TY17,LimbicA,0.07166162929375783,0.10789210789210789
24,TY17,LimbicB,0.0009522959372259827,0.961038961038961
25,TY17,ControlC,0.011312098786494982,0.7192807192807192
26,TY17,ControlA,0.03610105416470131,0.46353646353646355
27,TY17,ControlB,0.01582915625518918,0.8841158841158842
28,TY17,TempPar,0.037469921475414385,0.2627372627372627
29,TY17,DefaultC,0.06217097433503852,0.04095904095904096
30,TY17,DefaultA,0.02537098833938127,0.7922077922077922
31,TY17,DefaultB,0.029715981846221203,0.7122877122877123
32,EG17,Default,0.0249371780477072,0.954045954045954
33,EG17,LatVis,0.09557854112637226,0.06893106893106893
34,EG17,FrontPar,0.03886719936390137,0.5324675324675324
35,EG17,MedVis,0.11644365278477642,0.005994005994005994
36,EG17,DorsAttn,0.03575857864579977,0.4965034965034965
37,EG17,Premotor,0.014595428663833137,0.7122877122877123
38,EG17,Language,0.049934490283835765,0.25574425574425574
39,EG17,Salience,0.004379704818563886,0.9590409590409591
40,EG17,CingOperc,0.029590999045524286,0.7892107892107892
41,EG17,HandSM,0.01308351877668296,0.7772227772227772
42,EG17,FaceSM,0.012130440434131608,0.6143856143856143
43,EG17,Auditory,0.044512950554106825,0.24575424575424576
44,EG17,AntMTL,0.05775318426688336,0.13186813186813187
45,EG17,PostMTL,0.045284590961596066,0.002997002997002997
46,EG17,ParMemory,0.017169750334903224,0.43356643356643354
47,EG17,Context,0.07289029623436025,0.017982017982017984
48,EG17,FootSM,0.012317016552848906,0.7642357642357642
